Pathway,unhealthy,unhealthy,unhealthy,healthy,unhealthy,unhealthy,unhealthy,unhealthy,healthy,healthy,unhealthy,healthy,unhealthy,healthy,unhealthy,unhealthy,unhealthy,healthy,unhealthy,unhealthy,healthy,healthy,unhealthy,healthy,healthy,unhealthy,unhealthy,healthy,healthy,healthy,unhealthy,unhealthy,healthy,healthy,unhealthy,unhealthy,unhealthy,healthy,unhealthy,healthy,healthy,unhealthy,healthy,unhealthy,unhealthy,unhealthy,healthy,healthy,unhealthy,unhealthy,unhealthy,unhealthy,healthy,unhealthy,unhealthy,unhealthy,unhealthy,healthy,unhealthy,healthy,unhealthy,unhealthy,healthy,unhealthy,unhealthy,unhealthy,unhealthy,unhealthy,healthy,unhealthy,healthy,unhealthy,unhealthy,unhealthy,unhealthy,unhealthy,healthy,unhealthy,unhealthy,healthy,healthy,unhealthy,unhealthy,unhealthy,unhealthy,unhealthy,healthy,unhealthy
,175.95337503143531,-966.9037829375055,-966.9037829392663,175.95336295853943,175.95336659790672,-355.7625576277953,-966.9037829360797,-621.1162371508892,1255.7834515809889,-206.66125585791764,-966.9037829374267,-966.9037829370276,-966.9037829376001,175.95336717357603,-966.9037829358264,-966.9037829374507,175.95336259688,175.95337475294744,-395.4752115090627,-966.9037829399962,-966.9037829345791,-681.1894972228963,-395.47521150918703,43.03383480889555,-109.76092579368294,-395.4752115081991,-966.9037829374603,1226.7100966631244,-528.8085448442487,857.2769745716278,-966.9037829391638,-966.9037829377728,-554.205370238704,747.3819313483151,-499.9723964942763,175.95337066702157,33.09622365276756,1412.6307579458949,175.95336771471662,-473.5236860899622,33.09623115270132,-966.90378294135,-395.47521150900377,175.9533636697922,298.17558216052913,175.95336210235286,-344.56992772851555,1318.8105027753097,-713.8425584469431,-966.9037829375205,-966.9037829426552,-966.9037829368019,-395.47521150821,-367.2237829371988,-395.47521150913144,-395.47521150907494,-681.1894972218172,368.5724075321362,-395.47521150883676,-966.9037829424791,-681.1894972232665,-966.9037829376849,-966.9037829374662,-681.189497224743,-966.9037829374167,-966.9037829362776,-966.9037829375294,-966.9037829358788,-490.07838612922257,175.95336419717387,-441.7463391575906,-966.9037829357454,175.9534144218408,-395.4752115092172,-966.9037829377423,-966.9037814964712,602.0304575098417,-109.76092234663193,175.95336516477133,-681.1894972173606,-333.9539082503946,-1252.6180686492553,-395.47520655492434,-966.9037829376997,175.95339847562425,-966.9037829364795,1111.0661425253627,-308.09180452888205
Exchange/demand reaction,-436.22516858691256,-764.0029558576495,-760.5426383980274,-102.89184170684167,-102.89183806747447,-902.8918447446162,563.7748219215815,-508.4603503164978,83.42010101174672,-290.97651105639125,-902.8918447440514,-102.89184474459914,-843.6435265014255,-102.89183749180512,-514.4251778886432,-836.2251780718974,-102.89184206850115,-102.89182991243365,-102.89184475542929,-569.5585114128207,304.8527201123048,-271.444264438793,-1038.998424423488,-291.86505533279563,353.49925215363805,-605.5266584895872,-745.9952930205903,278.4783820836428,30.441488588892838,430.44148856351853,-98.3654449213051,184.8706034244373,97.10815525314774,-902.8918447469055,-657.2992640243112,-102.89183399835957,-102.89183764852045,430.44148858694274,-102.89183695066454,-138.73199777607087,-102.89182957166865,-445.686062755949,136.43392461917043,-102.89184070737542,-502.891844746667,-102.8918425630283,-20.143837547664493,-502.8918447474644,-236.2251780698533,-502.8918447443055,-482.52147437906115,76.40174475016354,-184.71051169247914,-1236.22517808047,-1070.870400543217,-310.86251073733325,-1036.2251780738522,430.4414885870135,-481.05128682794583,86.40856677360905,430.441488588473,-785.3890915153302,84.57871364686301,662.8847329173699,-498.97446582879684,-444.5585112818779,-1236.225178077193,-548.0383028208877,-236.22517807996977,-102.89184046820729,346.4787317386804,-140.3397969304104,-102.8917902435403,-590.923906652173,-236.22517807969936,-359.9674566216842,97.10815523922899,-116.22644958381665,-102.89183950060983,474.07111532925137,-349.60432037930804,563.7748219178238,-395.7356537853627,-169.55851141367194,-102.89180618975684,216.85300032791432,39.74077693754062,-765.8929901961037
Fatty acid oxidation,-262.0804223296075,-552.7237053194513,537.9195695352317,53.709045857614996,127.39326024730833,-567.3435883603836,-114.71200941308234,748.4458853269247,-505.8115893546139,-260.2376962973646,-198.92253572978584,937.9195695223112,304.4889959007709,148.44589257767112,54.10904321431574,36.16518357173723,144.73222837645164,127.39326818774282,-114.71200941401901,853.7090432187624,-161.86556782540788,868.7986360030577,-176.7022214818389,-304.26361298558527,169.49851690304249,580.024832690346,-262.08043046614415,-462.08043046549585,478.270446729861,-777.8699041490298,227.11576125199338,756.6330198259403,-304.18569362416514,643.1827274292802,-609.4488515182993,93.18273619736938,-135.76463744264268,-502.49879940249184,148.44589311881168,-388.3962199399637,364.42012883625534,627.0317973203386,-207.8893265192932,-67.69220792422968,-262.0804304662235,148.44588750644797,-1.5528368001209496,-262.08043046384245,-289.1480996373975,678.7988264995989,743.767522753946,893.2467678261304,918.6377023597723,432.6564116395387,769.4985169036173,690.2743362356728,769.4985169025716,506.6037800742324,620.1270043248022,853.7090432335315,788.9317152834407,551.4124023494995,853.7090432186984,676.4223672008882,-92.7512581691231,169.49851689893987,474.1316708618184,-510.20357814349046,-567.3435883606049,136.61738656954964,-273.86342152199387,924.1229555602689,148.4459398259359,580.0248326919412,163.9429613474463,540.2589829226488,-567.3435883601426,-192.75194521344497,64.58544511867879,-388.7540744027682,-516.7729512416633,516.8669379239456,-262.08042985763194,158.97220111294706,148.4459238797194,629.1850104276872,-471.48806921852474,-672.6067462524741
Fatty acid synthesis,-148.71374222382943,-46.861898498559945,184.61958297497938,-482.0470806562443,-482.04707701687715,184.6195829706531,-1148.713750362391,184.61958297218223,184.61958297137718,184.6195829767017,184.6195829705664,-1148.7137503604415,-482.04708369639275,-482.04707644120776,184.61958297105022,-482.04708369577014,-482.0470810179038,-482.0470688618362,-1148.7137503480192,184.6195829719882,184.6195829538037,184.61958297049648,-144.0916731248859,184.61958297428237,184.61958297191356,-482.047083694381,-482.0470836956246,184.61958296308902,-259.8248614738025,184.61958297122382,-482.0470836982145,-1148.713750361554,184.61958297044973,184.61958297155635,184.61958297142326,-482.0470729477622,-482.04708013923386,184.6195829712243,-482.0470759000672,-148.71375035900687,-148.71374277344412,184.6195830175617,184.6195829715424,-479.3764400301707,-482.0470836962034,-482.0470815124309,53.661421177100955,-482.0470836911607,184.6195829724518,-482.04708369136034,-482.04708369346844,-1148.7137503607917,31.149055169201574,184.61958297128987,-148.7137503610248,-482.0470836952402,-148.71375036387124,184.61958297194371,-935.7001367970278,184.61958297883905,184.6195829714801,184.6195829712735,184.61958297223325,-758.3413797820145,184.61958297178265,184.6195829751516,184.619582971151,184.61958297104698,184.6195829716514,-482.04707941760995,184.6195829650035,-1086.3004966207159,-482.04702919294283,-482.0470836954608,184.6195829728659,-1148.7136791886264,184.61958297059826,184.61958297125457,-482.0470784500125,-143.04772114010004,184.6195829709777,-1148.7137503597448,-482.04708369479107,-482.0470836957364,-482.04704513915937,-704.4383639246101,184.61958297203716,184.61958297068625
Folate metabolism,134.95359198680686,352.99903316636073,218.39585839720814,100.22125696396286,352.99903984372753,175.3731359601999,565.5780538425491,-313.667633520787,1019.6656998318659,17.11643861972372,-222.55642318162108,-127.6772961673546,-14.812718166370322,352.9990404193968,226.15458920440688,150.5298974082823,197.97919326000047,352.9990479987682,-313.6676334998992,852.9990331490426,24.448107149092,-306.22632491042174,19.665699833251512,-313.66763350208225,437.01953952249113,448.60055098740685,686.332366510432,557.083155951272,-313.66763350125433,-313.6676335018988,686.3323664798246,-222.52586317232863,63.73116054466103,-313.6676335012831,-1144.72605495274,5.468174366032675,-480.3342966127361,-206.0557762576875,352.99904096053746,-313.6676334699574,256.72421522516,352.9990331540192,-775.6269696156763,-483.3465334128364,312.2582924220072,352.9990353481735,-313.6676335013514,352.9990331647962,645.0625252206573,971.7964187926733,1019.6656998308908,144.46690673777525,-410.239972104172,1437.3545887216903,1042.7169681750952,-178.33857110202652,404.3570579218167,-980.3343002536412,-77.00986668284581,-464.6964401010862,-303.4112232460853,-313.66763350163956,287.2020262588789,1382.902023528494,563.3088622418845,-100.87001445984852,1028.1860655818953,1615.9619961316378,823.8323664776595,352.99903744299445,532.8119059216474,761.7982293472347,352.99908766766157,352.99903316548165,1336.6498268568394,736.838313201526,-313.66763349936656,1009.0389647736771,1316.0459829661092,224.352504945462,165.5662846247219,351.2353647332498,1057.602341794555,594.8748470115233,352.99907172144503,-69.2689467164126,-102.24126973232235,-1102.9001650170078
Glutamate metabolism,-85.0635759795399,-1085.0635841201945,-3085.0635841264166,-347.3184839860294,-2085.063580782109,300.50871090755766,-1141.0745130192508,914.9364158791851,914.9364158792177,914.9364158776895,914.9364158751672,-3085.063584077813,914.936415877707,-1085.0635768672646,914.9364158769547,-749.5080285533099,-825.8492970513225,-1738.5170301259163,-3085.063584119609,914.9364158794046,-1085.0635841257197,-3085.063584120471,-3085.0635841170933,914.9364158798135,914.9364158780442,-3085.0635841178237,-1085.0635841220978,914.9364158774923,914.9364158786187,914.9364158778835,-3085.0635841203148,641.5111048964344,914.9364158782405,914.936415880752,-2671.0296206553685,-85.06357874482137,-2085.063580572632,914.9364158782302,-1085.063576326124,-315.14542029149607,-85.06357653048292,-1834.1795319909922,914.9364158788079,-2085.0635821020596,-3085.063584122876,-1085.063581938488,914.9364158794277,914.9364158789181,914.9364158822592,914.9364158783595,-3085.063584120382,-3085.0635841192334,-3039.5482588935492,-3085.063584121698,-2286.8301917598883,-1975.0528765005974,-3085.0635841172516,914.9364159111192,-3085.063584121826,914.9364158800732,-2008.1405071996678,-3085.063584121168,-753.9043998729359,914.9364158789016,914.93641587872,-40.96861656444628,-1085.0635841213036,914.9364158766889,914.9364158807674,-1085.063579843667,914.9364158780473,-3085.0635841202547,-1085.0635296189998,-3085.0635841209933,914.9364158817313,-1100.2128929971987,914.9364158743929,914.936415878711,-85.06358149747587,-3085.0635841180983,914.936415878523,914.9364158777578,-3085.0635841217654,-1085.0635841314931,-1085.0635455652164,799.5272848328448,321.0231812837138,914.9364158700752
Glutathione metabolism,858.1371833690537,-164.085046992936,-641.8628247970698,1358.137176743532,858.1371802272213,1362.632639620104,358.1371752182101,111.38762846624365,-641.8628247860124,358.1371752022767,-229.32208639105482,-141.86282477669488,-641.8628247846113,358.13718246984087,-641.862824777863,358.13717521940066,91.41396235410133,358.1371863408647,41.89785898260732,-641.862824786507,1358.1371752052219,358.1371752179797,-641.8628247188133,-213.05590764827178,358.13717521576945,-641.8628247599222,11.010738458809897,489.51099071706597,-641.8628247840289,94.21591130110198,-641.8628247791802,-630.6608451178367,358.1371752157029,-641.8628247841339,-641.8628247846373,-141.8628194104461,358.13717876711917,-641.8628247816656,358.1371830109815,358.13717522484524,358.1371828114728,-641.8628247940075,358.13717521652785,-141.862822764773,-641.8628247862944,358.1371773986177,358.13717521778904,-641.8628247817419,1234.3276514323402,358.1371752166471,127.35013890584639,358.13717520550586,-641.8628247813374,-641.8628247848237,-641.8628247829724,-6.70284582649532,1293.1371751425459,-641.8628247964317,358.1371752153422,-641.8628247941081,-141.86282478564198,640.996636931594,358.13717521780285,358.13717521876896,-484.8115425486778,0.9943180679781563,-641.8628247830611,1358.1371750721732,-641.8628247931399,358.13717949343874,165.06391328455607,358.1371751917115,358.1372297181058,-138.87775010331967,-486.00592997637875,350.55454558016663,358.13717521693314,877.6320546297852,685.8015769509836,-347.3014907385713,-641.8628247843212,2218.2929659109222,358.1371752157438,-641.8628247842403,358.13721377188926,1711.9735227973822,-641.862824788822,224.11655668543744
Glycerophospholipid metabolism,866.2408560408313,929.5390653093941,-1737.1276013569397,-737.1275998367286,262.87240532213025,-1737.1276013557163,-1737.127601356641,-1737.1276013570464,-1737.1276013601291,581.9263309448122,-1737.1276013551478,-1737.1276013544825,-1737.1276013564775,262.8724058977995,-1737.1276013535798,-1737.1276013501574,-403.79426666917266,262.872413477171,-1737.1276013557151,-1737.1276013578886,-1737.1276013411111,-1737.1276013557003,-778.7262964946846,2262.8723986454906,-1737.127601354011,-1737.1276013548272,-1737.1276013558945,-860.0819508050972,2262.8723986437462,-1737.1276013507668,-1737.1276013360457,2262.8723986441396,2262.872398641647,2262.8723986464734,-874.5194629449724,-737.1275959824875,-737.1275978075679,2262.8723986426303,262.8724064389401,-1737.1276013523734,-737.1275937691421,-1737.1276013596203,2262.872398645469,-737.1275993369954,-1737.1276013574643,262.8724008265764,-403.79426802320285,2262.8723986435843,-1737.127601357451,-786.2256409900466,-1737.1276013553756,-1737.1276013546476,723.2839820630915,-1737.1276013566471,1446.8885564684897,-1737.127601356172,156.2057319946009,-1737.1276013595698,-1737.127601356446,1123.9835097478722,-1737.1276013569563,-1737.1276013560303,-1737.127601356142,-1737.1276013566112,-1737.1276013559889,-1737.1276013582292,-1737.1276013515037,-1737.1276013474835,-1737.1276013564348,262.87240292139734,262.8723986464016,-1737.1276013545084,262.87245314606434,-1203.9601055044195,-1737.127601357125,762.8727341276443,-1737.1276013000333,-1448.8402416037534,-737.1275987336127,-1737.127601299865,2262.8723986425025,-1737.1276013492356,-1737.127601356304,-1737.1276013560496,262.8724371998478,-762.2025415523535,2262.872398646099,-1737.1276011766472
"Glycine, serine, alanine and threonine metabolism",-1223.77984456529,-1223.7798527006107,-1223.7798527013588,-223.7798511750948,-1223.7798460226118,-1223.7798527006375,-1223.7798527011364,776.2201473000034,776.2201473041208,776.2201472937271,-1223.779852700592,-1223.7798526999168,-703.2820251203227,-1223.7798454469423,776.2201472935233,-1223.779852700507,-223.7798513573108,-1223.7798378675707,-1223.7798527006726,776.2201473014601,776.2201472951145,-1223.7798527003686,-1223.779852700904,-1223.7798527012828,776.2201472990422,-1223.7798526991971,-1223.7798527006566,163.96777887059648,-1223.77985270105,776.2201472950566,-1223.7798527004484,502.7948363126404,776.2201472798291,776.2201472991496,-602.7289074902945,-223.7798473253357,-1223.77984915231,776.2201472988963,-1223.7798449058018,-1223.779852698823,-1223.7798451138838,-1223.7798527033274,-1223.779852700614,-1223.7798506815357,-490.4465193754256,-1223.7798505181654,-1223.7798527011123,776.2201472977921,776.2201473023226,-1223.7798527008692,-1223.7798526999677,-1223.7798526999222,776.2201472773259,-1223.7798527011075,-1223.7798527006307,-1223.7798527006685,-1223.7798526969282,776.220147300102,-1223.7798527016316,776.2201473013048,-1223.7798527014456,-1223.779852701005,-491.31617906445524,776.2201472994826,-1223.7798527004747,-1223.7798527018851,-1223.779852697835,-1223.7798527004056,776.2201473025355,-1223.7798484233444,776.2201472984465,-1223.7798526999695,-1223.7797981986773,-1223.779852700817,-1223.7798527014875,-1223.7798283558275,776.2201472882405,-44.41568443865367,-891.202374621088,187.0974792679291,776.2201472989642,-1223.7798526997606,-1223.7798527010732,-1223.779852700954,-1223.7798141448939,-1223.779852701004,182.30691270294403,776.2201472900341
Glycolysis/gluconeogenesis,-541.5030518616625,-541.5030599969,291.83027333573114,-374.8363915573795,-541.5030533189841,-541.5030599941243,-541.5030599977216,291.8302733346184,291.8302733358927,625.1636066687921,291.830273336056,429.9140085919346,-541.5030599975244,-541.5030527433149,291.83027333611716,-541.5030599964809,-541.5030586586727,-541.5030451639435,-541.5030599969033,-541.5030599981504,-541.5030599962607,-541.5030599966809,-430.39194888694755,625.1636066701163,424.04946814431304,291.83027333627825,-541.5030599967781,-541.5030598865922,291.8302733360019,625.1636066691192,-541.5030599960822,291.8302733359919,291.8302733361773,-541.5030599979749,-541.5030599977597,-541.5030546236019,-541.5030564486823,291.83027333597414,-541.5030522021742,-541.5030599954142,-541.5030524102564,-541.5030600607266,291.83027333601484,-517.5293917411437,291.83027333593117,-541.503057814538,291.8302733359572,-280.71382667470374,625.1636066721611,291.830273336021,-541.5030599965913,-541.5030599963012,379.6077921189803,291.8302733359784,-541.5030599967987,-541.5030599971959,-541.5030599957233,625.1636066725664,-541.5030599977048,291.8302733252082,-541.5030599979582,-541.503059997363,-541.5030599972275,-541.503059998237,-541.503059996863,-541.5030599985072,-541.5030599969515,291.8302733361384,291.8302733359407,-541.503055719717,625.1636066682246,-541.5030599962154,-541.5030054950502,291.83027333603405,-541.5030599977226,-541.5030435774787,-541.5030599766808,291.830273335946,-385.8383219062405,291.8302733363947,-373.77791380016674,-541.5030599959779,-541.5030599978625,-541.5030599973003,-541.5030214412667,-541.5030599974353,-541.5030600210115,-541.5030599959953
